feature_set,feature,feature_order,mimic_missing_rate,eicu_missing_rate,clinical_domain,clinical_interpretability
F15_minimal_bedside_set,hours_since_icu_admission,1,0.0,0.0,time_anchor,direct_or_bedside
F15_minimal_bedside_set,hours_from_anchor,2,0.0,0.0,time_anchor,direct_or_bedside
F15_minimal_bedside_set,is_sepsis_on_admission,3,0.0,0.0,time_anchor,direct_or_bedside
F15_minimal_bedside_set,hr_latest_value,4,0.0738318830224309,0.010531151644969311,circulation_vitals,direct_or_bedside
F15_minimal_bedside_set,rr_latest_value,5,0.08141411692653176,0.05728786701377363,respiration,direct_or_bedside
F15_minimal_bedside_set,spo2_latest_value,6,0.09380980937555822,0.03093525795709735,respiration,direct_or_bedside
F15_minimal_bedside_set,creatinine_latest_value,7,0.025059330900553754,0.05043767245569298,renal,direct_or_bedside
F15_minimal_bedside_set,bun_latest_value,8,0.024851991731951923,0.0512033495758339,renal,direct_or_bedside
F15_minimal_bedside_set,platelet_latest_value,9,0.02962398244315717,0.07147619695308063,lab_organ_function,direct_or_bedside
F15_minimal_bedside_set,wbc_latest_value,10,0.02928586010666803,0.07189185024687142,lab_organ_function,direct_or_bedside
F15_minimal_bedside_set,shared_support_intensity_proxy,11,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F15_minimal_bedside_set,support_hemodynamic_component,12,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F15_minimal_bedside_set,support_lactate_component,13,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F15_minimal_bedside_set,support_renal_component,14,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F15_minimal_bedside_set,support_respiratory_component,15,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
