dataset_name,scenario,feature_name,baseline_missing_rate,post_filter_missing_rate,missingness_increase,stale_set_to_missing_rate,freshness_source_available,freshness_source_column,clinical_note,needs_fixed_draw_frequency_support
eicu_external,current_latest_value_reference,bun_latest_value,0.0512033495758339,0.0512033495758339,0.0,0.0,True,bun_hours_since_last_real_measurement,Direct laboratory feature filtered by hours_since_last_real_measurement.,False
eicu_external,current_latest_value_reference,creatinine_latest_value,0.05043767245569298,0.05043767245569298,0.0,0.0,True,creatinine_hours_since_last_real_measurement,Direct laboratory feature filtered by hours_since_last_real_measurement.,False
eicu_external,current_latest_value_reference,platelet_latest_value,0.07147619695308063,0.07147619695308063,0.0,0.0,True,platelet_hours_since_last_real_measurement,Direct laboratory feature filtered by hours_since_last_real_measurement.,False
eicu_external,current_latest_value_reference,shared_support_intensity_proxy,0.0,0.0,0.0,0.0,True,"composite: hemodynamic, lactate, renal, respiratory components",Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,current_latest_value_reference,support_hemodynamic_component,0.0,0.0,0.0,0.0,False,none,Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,current_latest_value_reference,support_lactate_component,0.0,0.0,0.0,0.0,True,lactate_hours_since_last_real_measurement,Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,current_latest_value_reference,support_renal_component,0.0,0.0,0.0,0.0,True,creatinine_hours_since_last_real_measurement plus urine_output support signal,Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,current_latest_value_reference,support_respiratory_component,0.0,0.0,0.0,0.0,False,none,Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,current_latest_value_reference,wbc_latest_value,0.07189185024687142,0.07189185024687142,0.0,0.0,True,wbc_hours_since_last_real_measurement,Direct laboratory feature filtered by hours_since_last_real_measurement.,False
eicu_external,lab12h_freshness_window,bun_latest_value,0.0512033495758339,0.3999535837969405,0.3487502342211066,0.39736740231909806,True,bun_hours_since_last_real_measurement,Direct laboratory feature filtered by hours_since_last_real_measurement.,True
eicu_external,lab12h_freshness_window,creatinine_latest_value,0.05043767245569298,0.39966728713462696,0.349229614678934,0.39697077205934805,True,creatinine_hours_since_last_real_measurement,Direct laboratory feature filtered by hours_since_last_real_measurement.,True
eicu_external,lab12h_freshness_window,platelet_latest_value,0.07147619695308063,0.453052578714937,0.3815763817618564,0.4485032201240873,True,platelet_hours_since_last_real_measurement,Direct laboratory feature filtered by hours_since_last_real_measurement.,True
eicu_external,lab12h_freshness_window,shared_support_intensity_proxy,0.0,0.0,0.0,0.0,True,"composite: hemodynamic, lactate, renal, respiratory components",Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,lab12h_freshness_window,support_hemodynamic_component,0.0,0.0,0.0,0.0,False,none,Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,lab12h_freshness_window,support_lactate_component,0.0,0.6198551015497115,0.6198551015497115,0.6198551015497115,True,lactate_hours_since_last_real_measurement,Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,True
eicu_external,lab12h_freshness_window,support_renal_component,0.0,0.0,0.0,0.39697077205934805,True,creatinine_hours_since_last_real_measurement plus urine_output support signal,Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,lab12h_freshness_window,support_respiratory_component,0.0,0.0,0.0,0.0,False,none,Support proxy component; not full VIS. Lab-dependent components were freshness-filtered when applicable.,False
eicu_external,lab12h_freshness_window,wbc_latest_value,0.07189185024687142,0.4561447728982639,0.38425292265139244,0.4516772133537894,True,wbc_hours_since_last_real_measurement,Direct laboratory feature filtered by hours_since_last_real_measurement.,True
