dataset_name,model_name,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,interpretation_note
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.005,0.0165722315619636,0.0165722315619636,0.0,0.0,0.0165722315619636,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.01,0.0116054246506604,0.0116054246506604,0.0,-1.734723475976807e-18,0.0116054246506604,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.02,0.0015200180648942,0.0015197657185243,0.0,2.523463699284634e-07,0.0015200180648942,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.03,-0.0087665789296227,-0.0087738449441712,0.0,7.2660145485625716e-06,-0.0087665789296227,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.05,-0.0297099242617923,-0.030011189048259,0.0,0.0003012647864666,-0.0297099242617923,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.075,-0.0545882157085582,-0.0578493292928066,0.0,0.0032611135842483,-0.0545882157085582,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.1,-0.0753244510560056,-0.0872340328842734,0.0,0.0119095818282678,-0.0753244510560056,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.15,-0.1013525992654087,-0.1511889759951131,0.0,0.0498363767297043,-0.1013525992654087,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.2,-0.1091629674791721,-0.2231382869948077,0.0,0.1139753195156355,-0.1091629674791721,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.3,-0.09929874302585,-0.3978723279940658,0.0,0.2985735849682158,-0.09929874302585,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.005,0.0165722315619636,0.0165722315619636,0.0,0.0,0.0165722315619636,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.01,0.0116054246506604,0.0116054246506604,0.0,-1.734723475976807e-18,0.0116054246506604,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.02,0.0015200180648942,0.0015197657185243,0.0,2.523463699284634e-07,0.0015200180648942,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.03,-0.0087680203657072,-0.0087738449441712,0.0,5.824578464031643e-06,-0.0087680203657072,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.05,-0.0297243917797865,-0.030011189048259,0.0,0.0002867972684725,-0.0297243917797865,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.075,-0.0547127651679197,-0.0578493292928066,0.0,0.0031365641248868,-0.0547127651679197,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.1,-0.0758326831154614,-0.0872340328842734,0.0,0.011401349768812,-0.0758326831154614,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.15,-0.10303764843072,-0.1511889759951131,0.0,0.0481513275643931,-0.10303764843072,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.2,-0.1123873717490824,-0.2231382869948077,0.0,0.1107509152457253,-0.1123873717490824,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P12_true_trained_clinical_landing_model,0.3,-0.103874326227913,-0.3978723279940658,0.0,0.2939980017661527,-0.103874326227913,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.005,0.0165722315619636,0.0165722315619636,0.0,0.0,0.0165722315619636,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.01,0.0116054246506604,0.0116054246506604,0.0,-1.734723475976807e-18,0.0116054246506604,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.02,0.0015204062900787,0.0015197657185243,0.0,6.405715544319235e-07,0.0015204062900787,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.03,-0.0087577538107378,-0.0087738449441712,0.0,1.6091133433454585e-05,-0.0087577538107378,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.05,-0.0294169695375645,-0.030011189048259,0.0,0.0005942195106945,-0.0294169695375645,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.075,-0.052946939179684,-0.0578493292928066,0.0,0.0049023901131225,-0.052946939179684,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.1,-0.0716220402140598,-0.0872340328842734,0.0,0.0156119926702136,-0.0716220402140598,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.15,-0.0929034067960012,-0.1511889759951131,0.0,0.0582855691991118,-0.0929034067960012,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.2,-0.0975199194945199,-0.2231382869948077,0.0,0.1256183675002877,-0.0975199194945199,supplementary clinical utility estimate; not an automatic intervention trigger
eicu_external,P15_clinically_parsimonious_transport_model,0.3,-0.0852445254765304,-0.3978723279940658,0.0,0.3126278025175354,-0.0852445254765304,supplementary clinical utility estimate; not an automatic intervention trigger
